x,y
77.0,97.0
81.0,93.0
86.0,95.0
87.0,92.0
99.0,97.0
88.0,86.0
93.0,90.0
98.0,88.0
97.0,86.0
103.0,85.0
113.0,91.0
101.0,68.0
103.0,69.0
120.0,79.0
126.0,74.0
137.0,83.0
x,y
85.0,75.0
87.0,75.0
88.0,69.0
126.0,28.0
137.0,18.0
x,y
71.0,95.0
69.0,91.0
75.0,93.0
73.0,88.0
78.0,90.0
76.0,87.0
78.0,89.0
78.0,88.0
79.0,83.0
x,y
87.0,63.0
99.0,39.0
97.0,32.0
120.0,16.0
x,y
70.0,77.0
71.0,75.0
78.0,78.0
73.0,73.0
72.0,71.0
78.0,76.0
74.0,72.0
77.0,74.0
78.0,73.0
x,y
101.0,24.0
103.0,23.0
103.0,17.0
113.0,8.0
x,y
38.0,92.0
62.0,59.0
65.0,59.0
67.0,57.0
69.0,58.0
67.0,56.0
76.0,40.0
77.0,36.0
79.0,35.0
85.0,26.0
87.0,27.0
93.0,14.0
98.0,15.0
x,y
33.0,92.0
58.0,60.0
57.0,58.0
59.0,55.0
62.0,56.0
62.0,55.0
63.0,54.0
63.0,52.0
63.0,50.0
65.0,50.0
65.0,48.0
86.0,20.0
88.0,15.0
x,y
19.0,99.0
18.0,94.0
23.0,98.0
29.0,87.0
28.0,82.0
33.0,81.0
37.0,75.0
54.0,57.0
57.0,55.0
60.0,52.0
x,y
54.0,55.0
54.0,54.0
54.0,53.0
60.0,50.0
60.0,49.0
61.0,49.0
60.0,47.0
62.0,48.0
63.0,48.0
63.0,46.0
64.0,46.0
63.0,43.0
65.0,43.0
64.0,42.0
67.0,43.0
67.0,40.0
71.0,35.0
72.0,34.0
x,y
34.0,73.0
47.0,59.0
48.0,59.0
50.0,56.0
49.0,55.0
54.0,52.0
54.0,51.0
58.0,46.0
60.0,42.0
61.0,42.0
62.0,42.0
62.0,41.0
70.0,29.0
78.0,22.0
78.0,20.0
87.0,13.0
88.0,13.0
87.0,10.0
x,y
15.0,81.0
20.0,79.0
20.0,77.0
24.0,73.0
25.0,73.0
30.0,73.0
39.0,65.0
39.0,61.0
42.0,60.0
43.0,60.0
46.0,56.0
46.0,55.0
54.0,48.0
x,y
47.0,52.0
48.0,51.0
48.0,50.0
50.0,49.0
54.0,47.0
54.0,46.0
54.0,44.0
59.0,41.0
60.0,40.0
x,y
16.0,77.0
17.0,76.0
40.0,55.0
43.0,54.0
42.0,52.0
44.0,50.0
46.0,51.0
48.0,48.0
48.0,47.0
54.0,42.0
54.0,41.0
78.0,17.0
78.0,16.0
x,y
77.0,12.0
71.0,11.0
74.0,10.0
71.0,9.0
73.0,7.0
73.0,5.0
75.0,5.0
81.0,5.0
78.0,1.0
x,y
19.0,72.0
21.0,66.0
28.0,61.0
40.0,47.0
40.0,42.0
43.0,45.0
44.0,46.0
46.0,46.0
43.0,41.0
49.0,42.0
x,y
15.0,39.0
17.0,40.0
21.0,35.0
24.0,35.0
23.0,29.0
28.0,32.0
29.0,31.0
38.0,35.0
39.0,36.0
37.0,26.0
39.0,28.0
34.0,17.0
33.0,14.0
x,y
20.0,15.0
19.0,14.0
20.0,13.0
28.0,14.0
16.0,6.0
18.0,6.0
19.0,3.0
25.0,5.0
30.0,4.0
33.0,4.0
x,y
19.0,99.0
18.0,94.0
23.0,98.0
15.0,81.0
33.0,92.0
16.0,77.0
29.0,87.0
20.0,79.0
17.0,76.0
38.0,92.0
20.0,77.0
28.0,82.0
19.0,72.0
33.0,81.0
24.0,73.0
25.0,73.0
21.0,66.0
30.0,73.0
34.0,73.0
37.0,75.0
28.0,61.0
71.0,95.0
69.0,91.0
77.0,97.0
39.0,65.0
75.0,93.0
39.0,61.0
73.0,88.0
15.0,39.0
81.0,93.0
17.0,40.0
78.0,90.0
42.0,60.0
78.0,89.0
43.0,60.0
76.0,87.0
86.0,95.0
78.0,88.0
40.0,55.0
47.0,59.0
87.0,92.0
48.0,59.0
70.0,77.0
43.0,54.0
46.0,56.0
79.0,83.0
21.0,35.0
42.0,52.0
46.0,55.0
71.0,75.0
99.0,97.0
24.0,35.0
50.0,56.0
49.0,55.0
40.0,47.0
44.0,50.0
78.0,78.0
88.0,86.0
47.0,52.0
93.0,90.0
46.0,51.0
73.0,73.0
54.0,57.0
58.0,60.0
78.0,76.0
72.0,71.0
48.0,51.0
57.0,58.0
74.0,72.0
54.0,55.0
77.0,74.0
48.0,50.0
23.0,29.0
44.0,46.0
43.0,45.0
54.0,54.0
40.0,42.0
28.0,32.0
78.0,73.0
54.0,53.0
48.0,48.0
46.0,46.0
57.0,55.0
62.0,59.0
50.0,49.0
54.0,52.0
48.0,47.0
29.0,31.0
98.0,88.0
54.0,51.0
59.0,55.0
97.0,86.0
43.0,41.0
